algo,size,joules
bubble_sort,10000,1.005005000
bubble_sort,10000,0.913269000
bubble_sort,10000,1.106079000
bubble_sort,10000,0.980469000
bubble_sort,10000,1.424927000
bubble_sort,10000,0.992737000
bubble_sort,10000,1.023865000
bubble_sort,10000,1.076599000
bubble_sort,10000,1.028015000
bubble_sort,10000,1.005982000
bubble_sort,10000,1.035339000
bubble_sort,10000,1.011597000
bubble_sort,10000,0.965149000
bubble_sort,10000,1.036316000
bubble_sort,10000,1.350159000
bubble_sort,10000,1.626282000
bubble_sort,10000,1.066284000
bubble_sort,10000,1.034974000
bubble_sort,10000,1.079346000
bubble_sort,10000,1.054383000
bubble_sort,10000,1.086670000
bubble_sort,10000,1.079650000
bubble_sort,10000,1.026123000
bubble_sort,10000,1.089417000
bubble_sort,10000,1.092407000
bubble_sort,10000,1.104919000
bubble_sort,10000,1.090881000
bubble_sort,10000,1.061829000
bubble_sort,10000,1.051086000
bubble_sort,10000,1.096924000
bubble_sort,10000,1.047851000
bubble_sort,10000,1.031860000
bubble_sort,10000,1.067627000
bubble_sort,10000,0.945679000
bubble_sort,10000,1.013123000
bubble_sort,10000,1.061829000
bubble_sort,10000,1.068115000
bubble_sort,10000,0.987122000
bubble_sort,10000,1.029480000
bubble_sort,10000,0.968750000
bubble_sort,10000,1.017151000
bubble_sort,10000,1.040650000
bubble_sort,10000,1.044006000
bubble_sort,10000,1.039978000
bubble_sort,10000,1.129517000
bubble_sort,10000,1.169739000
bubble_sort,10000,1.675781000
bubble_sort,10000,1.049683000
bubble_sort,10000,1.022339000
bubble_sort,10000,1.091491000
bubble_sort,10000,1.027710000
bubble_sort,10000,1.007691000
bubble_sort,10000,0.963379000
bubble_sort,10000,1.049316000
bubble_sort,10000,1.156555000
bubble_sort,10000,1.130920000
bubble_sort,10000,1.018981000
bubble_sort,10000,1.128479000
bubble_sort,10000,1.068237000
bubble_sort,10000,0.984985000
bubble_sort,10000,1.119446000
bubble_sort,10000,1.083374000
bubble_sort,10000,1.138733000
bubble_sort,10000,1.126831000
bubble_sort,10000,1.079529000
bubble_sort,10000,1.087769000
bubble_sort,10000,1.030518000
bubble_sort,10000,0.992371000
bubble_sort,10000,1.037414000
bubble_sort,10000,0.993042000
bubble_sort,10000,1.086120000
bubble_sort,10000,0.942566000
bubble_sort,10000,0.982666000
bubble_sort,10000,1.018554000
bubble_sort,10000,0.997497000
bubble_sort,10000,0.996766000
bubble_sort,10000,1.189453000
bubble_sort,10000,1.726440000
bubble_sort,10000,1.005859000
bubble_sort,10000,1.001709000
bubble_sort,10000,1.014221000
bubble_sort,10000,1.133973000
bubble_sort,10000,0.945007000
bubble_sort,10000,0.991577000
bubble_sort,10000,0.995117000
bubble_sort,10000,1.010681000
bubble_sort,10000,1.097413000
bubble_sort,10000,0.995300000
bubble_sort,10000,1.029663000
bubble_sort,10000,1.104187000
bubble_sort,10000,1.023682000
bubble_sort,10000,1.081177000
bubble_sort,10000,1.175110000
bubble_sort,10000,1.021423000
bubble_sort,10000,0.947144000
bubble_sort,10000,1.433045000
bubble_sort,10000,1.054870000
bubble_sort,10000,0.993653000
bubble_sort,10000,1.047791000
bubble_sort,10000,1.119141000
bubble_sort,10000,0.963928000
bubble_sort,10000,1.041809000
bubble_sort,10000,0.983093000
bubble_sort,10000,1.059997000
bubble_sort,10000,1.021729000
bubble_sort,10000,1.091308000
bubble_sort,10000,1.087341000
bubble_sort,10000,1.187134000
bubble_sort,10000,1.885376000
bubble_sort,10000,1.019287000
bubble_sort,10000,1.067993000
bubble_sort,10000,1.059998000
bubble_sort,10000,0.978882000
bubble_sort,10000,1.085755000
bubble_sort,10000,1.085205000
bubble_sort,10000,1.072327000
bubble_sort,10000,1.049621000
bubble_sort,10000,1.181336000
bubble_sort,10000,1.045654000
bubble_sort,10000,1.174133000
bubble_sort,10000,1.024719000
bubble_sort,10000,1.073303000
bubble_sort,10000,1.063355000
bubble_sort,10000,1.173950000
bubble_sort,10000,1.008057000
bubble_sort,10000,1.127137000
bubble_sort,10000,1.310059000
bubble_sort,10000,1.029175000
bubble_sort,10000,1.040589000
bubble_sort,10000,1.066407000
bubble_sort,10000,1.000610000
bubble_sort,10000,1.055787000
bubble_sort,10000,0.999084000
bubble_sort,10000,1.065247000
bubble_sort,10000,1.048218000
bubble_sort,10000,0.993652000
bubble_sort,10000,1.079468000
bubble_sort,10000,1.075134000
bubble_sort,10000,1.154358000
bubble_sort,10000,1.702515000
bubble_sort,10000,1.182617000
bubble_sort,10000,1.116028000
bubble_sort,10000,1.002624000
bubble_sort,10000,0.947815000
bubble_sort,10000,1.047974000
bubble_sort,10000,1.056213000
bubble_sort,10000,0.972473000
bubble_sort,10000,0.999512000
bubble_sort,10000,1.176209000
bubble_sort,10000,1.003113000
bubble_sort,10000,0.985412000
bubble_sort,10000,1.023437000
bubble_sort,10000,1.015381000
bubble_sort,10000,1.035095000
bubble_sort,10000,1.088867000
bubble_sort,10000,0.984192000
bubble_sort,10000,0.977600000
bubble_sort,10000,0.954529000
merge_sort,10000,0.017456000
merge_sort,10000,0.026856000
merge_sort,10000,0.016907000
merge_sort,10000,0.021973000
merge_sort,10000,0.030213000
merge_sort,10000,0.022156000
merge_sort,10000,0.034119000
merge_sort,10000,0.048157000
merge_sort,10000,0.031983000
merge_sort,10000,0.020020000
merge_sort,10000,0.021728000
merge_sort,10000,0.022216000
merge_sort,10000,0.021667000
merge_sort,10000,0.021363000
merge_sort,10000,0.010376000
merge_sort,10000,0.020875000
