algo,size,joules,time_ms
bubble_sort,10000,2.669922000,946.997390000
bubble_sort,10000,3.093750000,1096.039179000
bubble_sort,10000,3.076111000,1040.834791000
bubble_sort,10000,2.456788000,903.123769000
bubble_sort,10000,2.165405000,853.257410000
bubble_sort,10000,2.791443000,973.626324000
bubble_sort,10000,2.832763000,1008.469608000
bubble_sort,10000,2.306824000,866.337010000
bubble_sort,10000,2.335144000,879.555324000
bubble_sort,10000,2.165955000,831.709750000
bubble_sort,10000,2.479248000,881.339026000
bubble_sort,10000,3.323974000,1024.558397000
bubble_sort,10000,2.285889000,852.685052000
bubble_sort,10000,2.322144000,858.081535000
bubble_sort,10000,2.367798000,882.381948000
bubble_sort,10000,2.206421000,849.758126000
bubble_sort,10000,2.867737000,993.445077000
bubble_sort,10000,2.691406000,958.610836000
bubble_sort,10000,2.316040000,845.679258000
bubble_sort,10000,2.360534000,858.732596000
bubble_sort,10000,2.450439000,874.889237000
bubble_sort,10000,2.420288000,855.240580000
bubble_sort,10000,3.192505000,1059.514080000
bubble_sort,10000,2.371155000,865.379596000
bubble_sort,10000,2.155823000,841.366588000
bubble_sort,10000,2.307129000,857.479287000
bubble_sort,10000,2.306152000,865.536124000
bubble_sort,10000,2.825379000,964.579251000
bubble_sort,10000,2.890991000,995.117754000
