algo,size,freq_mhz,joules,time_ms
fannkuchredux_v1,10,2700,1.578064000,250.707446000
fannkuchredux_v1,10,2700,2.522156000,302.362206000
fannkuchredux_v1,10,2700,2.481995000,264.943409000
fannkuchredux_v1,10,2700,1.551147000,246.923335000
fannkuchredux_v1,10,2700,1.920532000,268.189858000
fannkuchredux_v1,10,2700,1.523437000,251.022103000
fannkuchredux_v1,10,2700,1.515930000,245.146312000
fannkuchredux_v1,10,2700,1.617127000,247.967826000
fannkuchredux_v1,10,2700,1.616638000,245.373219000
fannkuchredux_v1,10,2700,1.507019000,244.906465000
fannkuchredux_v1,10,2700,1.515259000,244.989357000
fannkuchredux_v1,10,2700,1.518677000,245.991303000
fannkuchredux_v1,10,2700,1.505798000,246.942205000
fannkuchredux_v1,10,2700,1.512146000,244.385154000
fannkuchredux_v1,10,2700,1.535522000,245.550403000
fannkuchredux_v1,10,2700,1.522766000,246.388104000
fannkuchredux_v1,10,2700,1.513061000,244.322282000
fannkuchredux_v1,10,2700,1.509460000,244.728322000
fannkuchredux_v1,10,2700,1.521790000,244.850346000
fannkuchredux_v1,10,2700,1.645142000,246.493037000
fannkuchredux_v1,10,2700,1.640625000,250.566957000
fannkuchredux_v1,10,2700,2.385498000,282.756535000
fannkuchredux_v1,10,2700,1.536193000,245.581016000
fannkuchredux_v1,10,2700,1.564209000,246.515654000
fannkuchredux_v1,10,2700,1.919495000,256.686121000
fannkuchredux_v1,10,2700,1.645691000,257.546344000
fannkuchredux_v1,10,2700,1.517761000,245.253634000
fannkuchredux_v1,10,2700,1.532593000,246.122781000
fannkuchredux_v1,10,2700,1.591491000,245.712449000
fannkuchredux_v1,10,2700,1.647033000,245.658845000
fannkuchredux_v1,10,2700,1.523621000,245.261551000
fannkuchredux_v1,10,2700,1.530274000,246.911350000
fannkuchredux_v1,10,2700,1.557434000,249.700084000
fannkuchredux_v1,10,2700,1.640015000,245.190335000
fannkuchredux_v1,10,2700,1.512817000,246.983385000
fannkuchredux_v1,10,2700,1.534302000,251.973809000
fannkuchredux_v1,10,2700,1.533386000,245.477384000
fannkuchredux_v1,10,2700,1.532532000,244.820566000
fannkuchredux_v1,10,2700,1.506531000,244.406198000
fannkuchredux_v1,10,2700,1.513794000,246.318498000
fannkuchredux_v1,10,2700,1.609558000,247.153699000
fannkuchredux_v1,10,2700,2.336792000,267.163297000
fannkuchredux_v1,10,2700,1.556702000,246.033514000
fannkuchredux_v1,10,2700,1.541382000,245.024608000
fannkuchredux_v1,10,2700,1.689575000,248.867104000
fannkuchredux_v1,10,2700,1.556091000,247.203526000
fannkuchredux_v1,10,2700,1.505676000,245.575040000
fannkuchredux_v1,10,2700,1.527832000,246.731956000
fannkuchredux_v1,10,2700,1.565673000,244.844248000
fannkuchredux_v1,10,2700,1.508056000,246.910391000
fannkuchredux_v1,10,2700,1.497009000,246.184084000
fannkuchredux_v1,10,2700,1.515625000,245.455868000
fannkuchredux_v1,10,2700,1.511475000,244.701528000
fannkuchredux_v1,10,2700,1.512756000,245.865336000
fannkuchredux_v1,10,2700,1.578736000,254.622419000
fannkuchredux_v1,10,2700,1.529236000,250.822664000
fannkuchredux_v1,10,2700,1.518555000,244.608791000
fannkuchredux_v1,10,2700,1.484924000,245.070211000
fannkuchredux_v1,10,2700,1.506347000,244.959528000
