algo,size,joules,time_ms
quick_sort,10000,0.041382000,3.785104000
quick_sort,10000,0.005737000,0.894514000
quick_sort,10000,0.005249000,0.893556000
quick_sort,10000,0.005920000,0.922265000
quick_sort,10000,0.018616000,2.918087000
quick_sort,10000,0.021912000,2.934494000
quick_sort,10000,0.022949000,0.964513000
quick_sort,10000,0.018799000,0.954900000
quick_sort,10000,0.020203000,1.057832000
quick_sort,10000,0.007080000,1.064463000
quick_sort,10000,0.007019000,0.917246000
quick_sort,10000,0.007629000,0.895294000
quick_sort,10000,0.007385000,0.913751000
quick_sort,10000,0.008545000,1.004349000
quick_sort,10000,0.018860000,1.006842000
quick_sort,10000,0.015869000,0.965930000
quick_sort,10000,0.013000000,0.930903000
quick_sort,10000,0.007263000,1.184223000
quick_sort,10000,0.007446000,0.922955000
quick_sort,10000,0.007629000,0.900203000
quick_sort,10000,0.007386000,0.914699000
quick_sort,10000,0.039551000,2.652975000
quick_sort,10000,0.008667000,0.912132000
quick_sort,10000,0.015625000,1.079552000
quick_sort,10000,0.007874000,0.928926000
quick_sort,10000,0.007690000,0.910917000
quick_sort,10000,0.008118000,0.921918000
quick_sort,10000,0.017944000,0.942419000
quick_sort,10000,0.009278000,0.937878000
quick_sort,10000,0.006775000,0.944258000
quick_sort,10000,0.033386000,2.239678000
quick_sort,10000,0.020630000,0.967106000
quick_sort,10000,0.007630000,1.413395000
quick_sort,10000,0.019409000,1.094237000
quick_sort,10000,0.007691000,0.922959000
quick_sort,10000,0.007752000,0.955602000
quick_sort,10000,0.007934000,0.949064000
quick_sort,10000,0.017029000,0.919076000
quick_sort,10000,0.011292000,1.034777000
quick_sort,10000,0.015625000,0.935871000
quick_sort,10000,0.030152000,1.969787000
quick_sort,10000,0.008057000,1.040912000
quick_sort,10000,0.008240000,0.912905000
quick_sort,10000,0.007324000,0.926173000
quick_sort,10000,0.007202000,0.903045000
quick_sort,10000,0.007019000,1.154729000
quick_sort,10000,0.006958000,1.235934000
quick_sort,10000,0.032776000,0.988634000
quick_sort,10000,0.027222000,1.265070000
quick_sort,10000,0.015014000,0.908896000
quick_sort,10000,0.016296000,2.019612000
quick_sort,10000,0.007447000,0.915571000
quick_sort,10000,0.007630000,0.918655000
quick_sort,10000,0.006897000,0.893508000
quick_sort,10000,0.007019000,1.107991000
quick_sort,10000,0.016479000,1.935153000
quick_sort,10000,0.031555000,1.804438000
quick_sort,10000,0.030640000,1.153914000
quick_sort,10000,0.007446000,0.930658000
quick_sort,10000,0.008179000,0.910104000
quick_sort,10000,0.007263000,0.898436000
quick_sort,10000,0.017456000,2.263782000
quick_sort,10000,0.014588000,1.179077000
quick_sort,10000,0.030518000,1.704760000
quick_sort,10000,0.010620000,0.980968000
quick_sort,10000,0.014526000,1.616747000
quick_sort,10000,0.009339000,0.931577000
quick_sort,10000,0.009766000,1.058997000
quick_sort,10000,0.007813000,0.910322000
quick_sort,10000,0.008362000,0.954611000
quick_sort,10000,0.000000000,0.883509000
quick_sort,10000,0.010498000,1.006929000
quick_sort,10000,0.008972000,1.066636000
quick_sort,10000,0.008972000,0.946944000
quick_sort,10000,0.008850000,0.926598000
quick_sort,10000,0.025696000,1.524847000
quick_sort,10000,0.020568000,0.926793000
quick_sort,10000,0.011414000,1.466925000
quick_sort,10000,0.020325000,1.334702000
quick_sort,10000,0.015197000,1.285530000
quick_sort,10000,0.015442000,1.918753000
quick_sort,10000,0.008606000,0.915113000
quick_sort,10000,0.017090000,0.988103000
quick_sort,10000,0.008850000,0.938693000
quick_sort,10000,0.006897000,0.927083000
quick_sort,10000,0.010742000,1.038118000
quick_sort,10000,0.009766000,1.123714000
quick_sort,10000,0.010132000,1.124022000
quick_sort,10000,0.007935000,1.110631000
quick_sort,10000,0.033875000,3.976268000
quick_sort,10000,0.014710000,1.400830000
quick_sort,10000,0.016784000,0.918306000
quick_sort,10000,0.010987000,0.902370000
quick_sort,10000,0.010437000,0.998398000
quick_sort,10000,0.014465000,1.121772000
quick_sort,10000,0.024597000,3.207111000
quick_sort,10000,0.014283000,2.029979000
quick_sort,10000,0.014587000,0.938804000
quick_sort,10000,0.043152000,2.487595000
quick_sort,10000,0.039124000,3.200198000
quick_sort,10000,0.035949000,2.699346000
quick_sort,10000,0.015015000,1.306315000
quick_sort,10000,0.007508000,0.937116000
quick_sort,10000,0.029724000,2.089759000
quick_sort,10000,0.039917000,3.201066000
quick_sort,10000,0.007019000,0.920054000
quick_sort,10000,0.013672000,1.022919000
quick_sort,10000,0.045654000,1.092054000
quick_sort,10000,0.015503000,1.962944000
quick_sort,10000,0.022827000,2.881996000
quick_sort,10000,0.007935000,0.922956000
quick_sort,10000,0.015686000,1.020488000
quick_sort,10000,0.007690000,0.926004000
quick_sort,10000,0.039795000,4.299133000
quick_sort,10000,0.030945000,3.958866000
quick_sort,10000,0.029358000,3.011086000
quick_sort,10000,0.040588000,3.399959000
quick_sort,10000,0.007873000,0.938333000
quick_sort,10000,0.019836000,1.892116000
quick_sort,10000,0.036622000,0.985694000
quick_sort,10000,0.010193000,0.946809000
quick_sort,10000,0.007080000,1.192751000
quick_sort,10000,0.008179000,0.947011000
quick_sort,10000,0.014465000,1.690606000
quick_sort,10000,0.006897000,0.937628000
quick_sort,10000,0.013610000,1.401638000
quick_sort,10000,0.006775000,0.988616000
quick_sort,10000,0.016235000,1.413562000
quick_sort,10000,0.099792000,3.128923000
