algo,size,freq_mhz,joules,time_ms
fannkuchredux_v1,10,2700,1.601807000,247.535513000
fannkuchredux_v1,10,2700,1.667114000,253.245977000
fannkuchredux_v1,10,2700,4.151856000,449.476329000
fannkuchredux_v1,10,2700,1.672485000,249.265417000
fannkuchredux_v1,10,2700,1.756104000,248.428700000
fannkuchredux_v1,10,2700,1.593811000,246.669545000
fannkuchredux_v1,10,2700,1.550537000,245.942515000
fannkuchredux_v1,10,2700,1.565491000,246.600071000
fannkuchredux_v1,10,2700,1.558899000,247.596290000
fannkuchredux_v1,10,2700,1.580444000,246.807456000
fannkuchredux_v1,10,2700,1.581299000,245.968273000
fannkuchredux_v1,10,2700,1.594665000,245.816480000
fannkuchredux_v1,10,2700,1.611328000,248.813475000
fannkuchredux_v1,10,2700,1.586426000,246.548239000
fannkuchredux_v1,10,2700,1.588256000,245.853768000
fannkuchredux_v1,10,2700,1.541565000,245.690335000
fannkuchredux_v1,10,2700,1.579589000,247.412684000
fannkuchredux_v1,10,2700,1.601379000,247.016688000
fannkuchredux_v1,10,2700,1.830261000,252.953471000
fannkuchredux_v1,10,2700,1.648316000,246.050980000
fannkuchredux_v1,10,2700,1.569519000,246.313701000
fannkuchredux_v1,10,2700,2.532959000,292.401507000
fannkuchredux_v1,10,2700,1.663269000,246.113080000
fannkuchredux_v1,10,2700,1.587768000,247.161242000
fannkuchredux_v1,10,2700,1.564148000,246.362527000
fannkuchredux_v1,10,2700,1.547180000,247.778753000
fannkuchredux_v1,10,2700,1.555542000,245.901482000
fannkuchredux_v1,10,2700,1.590332000,245.614850000
fannkuchredux_v1,10,2700,1.987427000,312.554001000
fannkuchredux_v1,10,2700,1.538880000,247.533215000
fannkuchredux_v1,10,2700,1.519958000,245.435759000
fannkuchredux_v1,10,2700,1.549500000,247.411150000
fannkuchredux_v1,10,2700,1.544983000,246.692853000
fannkuchredux_v1,10,2700,1.563965000,245.361912000
fannkuchredux_v1,10,2700,1.550659000,245.793073000
fannkuchredux_v1,10,2700,1.573242000,247.459010000
fannkuchredux_v1,10,2700,1.577392000,246.869003000
fannkuchredux_v1,10,2700,1.581909000,245.801751000
fannkuchredux_v1,10,2700,1.719788000,247.739745000
fannkuchredux_v1,10,2700,1.576599000,251.516810000
fannkuchredux_v1,10,2700,1.573426000,245.621194000
fannkuchredux_v1,10,2700,2.538635000,293.149337000
fannkuchredux_v1,10,2700,1.693116000,246.848624000
fannkuchredux_v1,10,2700,1.564270000,247.489334000
fannkuchredux_v1,10,2700,1.574035000,247.178040000
fannkuchredux_v1,10,2700,1.578003000,246.050381000
fannkuchredux_v1,10,2700,1.570374000,245.904891000
fannkuchredux_v1,10,2700,1.580505000,246.822061000
fannkuchredux_v1,10,2700,1.572510000,247.752851000
fannkuchredux_v1,10,2700,1.567932000,246.946963000
fannkuchredux_v1,10,2700,1.582824000,245.865370000
fannkuchredux_v1,10,2700,1.594421000,246.516875000
fannkuchredux_v1,10,2700,1.556641000,246.198557000
fannkuchredux_v1,10,2700,1.557739000,245.499605000
fannkuchredux_v1,10,2700,1.565979000,247.370266000
fannkuchredux_v1,10,2700,1.585022000,247.951992000
fannkuchredux_v1,10,2700,1.594238000,245.806588000
fannkuchredux_v1,10,2700,1.584656000,248.166964000
fannkuchredux_v1,10,2700,1.839050000,249.155430000
fannkuchredux_v1,10,2700,1.569519000,246.701937000
fannkuchredux_v1,10,2700,1.577393000,245.946523000
fannkuchredux_v1,10,2700,2.396912000,264.267145000
fannkuchredux_v1,10,2700,1.707031000,250.531122000
fannkuchredux_v1,10,2700,1.575440000,247.392575000
fannkuchredux_v1,10,2700,1.616699000,248.710906000
fannkuchredux_v1,10,2700,1.570313000,247.129162000
fannkuchredux_v1,10,2700,1.562867000,245.413791000
fannkuchredux_v1,10,2700,1.652588000,246.079557000
fannkuchredux_v1,10,2700,1.588257000,247.476978000
fannkuchredux_v1,10,2700,1.565979000,247.463203000
fannkuchredux_v1,10,2700,1.562622000,245.623098000
fannkuchredux_v1,10,2700,1.554748000,245.700842000
fannkuchredux_v1,10,2700,1.557312000,248.612124000
fannkuchredux_v1,10,2700,1.583313000,246.963273000
fannkuchredux_v1,10,2700,1.595398000,247.497077000
fannkuchredux_v1,10,2700,1.598206000,246.984475000
fannkuchredux_v1,10,2700,1.571960000,245.832893000
fannkuchredux_v1,10,2700,1.618531000,246.819881000
fannkuchredux_v1,10,2700,1.748718000,248.076507000
fannkuchredux_v1,10,2700,1.567139000,246.815038000
fannkuchredux_v1,10,2700,1.595825000,246.934805000
fannkuchredux_v1,10,2700,2.315124000,261.118955000
fannkuchredux_v1,10,2700,1.785340000,250.291888000
fannkuchredux_v1,10,2700,1.597046000,246.580588000
fannkuchredux_v1,10,2700,1.594665000,245.588104000
fannkuchredux_v1,10,2700,1.598633000,247.145174000
fannkuchredux_v1,10,2700,1.574524000,248.365772000
fannkuchredux_v1,10,2700,1.576050000,247.936425000
fannkuchredux_v1,10,2700,1.604065000,246.568241000
fannkuchredux_v1,10,2700,1.540039000,245.880678000
fannkuchredux_v1,10,2700,1.583069000,247.471097000
fannkuchredux_v1,10,2700,2.530335000,401.539301000
fannkuchredux_v1,10,2700,1.561768000,245.856717000
fannkuchredux_v1,10,2700,1.555176000,245.803944000
fannkuchredux_v1,10,2700,1.546265000,247.815598000
fannkuchredux_v1,10,2700,3.795349000,439.333874000
fannkuchredux_v1,10,2700,1.762146000,251.436162000
fannkuchredux_v1,10,2700,1.741455000,248.230635000
fannkuchredux_v1,10,2700,1.576416000,246.052934000
fannkuchredux_v1,10,2700,1.772644000,250.623545000
fannkuchredux_v1,10,2700,2.188782000,255.507416000
fannkuchredux_v1,10,2700,1.644592000,248.884694000
fannkuchredux_v1,10,2700,1.588440000,245.507189000
fannkuchredux_v1,10,2700,1.582825000,246.441069000
fannkuchredux_v1,10,2700,1.562927000,247.468526000
fannkuchredux_v1,10,2700,1.609741000,247.847269000
fannkuchredux_v1,10,2700,1.556641000,246.116214000
fannkuchredux_v1,10,2700,1.528992000,246.219451000
fannkuchredux_v1,10,2700,1.592590000,247.713522000
fannkuchredux_v1,10,2700,1.588135000,246.098699000
fannkuchredux_v1,10,2700,1.781983000,277.735490000
fannkuchredux_v1,10,2700,1.795227000,282.233968000
fannkuchredux_v1,10,2700,1.563049000,247.597298000
fannkuchredux_v1,10,2700,1.575622000,246.138780000
fannkuchredux_v1,10,2700,1.556397000,245.955287000
fannkuchredux_v1,10,2700,1.582886000,246.564727000
fannkuchredux_v1,10,2700,1.715637000,248.168504000
fannkuchredux_v1,10,2700,1.536011000,246.699486000
fannkuchredux_v1,10,2700,1.566589000,246.416685000
fannkuchredux_v1,10,2700,2.290039000,286.283220000
fannkuchredux_v1,10,2700,2.009399000,266.937236000
fannkuchredux_v1,10,2700,1.568543000,246.560982000
fannkuchredux_v1,10,2700,1.580323000,246.792974000
fannkuchredux_v1,10,2700,1.587951000,248.025558000
fannkuchredux_v1,10,2700,1.542236000,246.002176000
fannkuchredux_v1,10,2700,1.532410000,246.086439000
fannkuchredux_v1,10,2700,1.563293000,246.323138000
