algo,size,freq_mhz,joules,time_ms
spectralnorm,3000,500,8.313904000,1610.254946000
knucleotide,250000,500,0.849854000,121.025183000
fannkuchredux,10,500,1.541443000,243.290475000
binarytrees,16,500,1.132934000,154.662017000
mandelbrot,1000,500,1.072632000,128.272693000
nbody,10000000,500,10.028748000,1396.320265000
fasta,2500000,500,2.762085000,426.977032000
spectralnorm,3000,600,8.004639000,1604.867243000
knucleotide,250000,600,0.874939000,120.524460000
fannkuchredux,10,600,1.585328000,251.282401000
binarytrees,16,600,1.104003000,152.478023000
mandelbrot,1000,600,0.845215000,129.108971000
nbody,10000000,600,8.395508000,1396.134553000
fasta,2500000,600,2.721436000,441.909086000
spectralnorm,3000,700,8.271790000,1603.234627000
knucleotide,250000,700,1.254334000,159.850576000
fannkuchredux,10,700,1.761719000,257.817753000
binarytrees,16,700,1.161865000,156.835432000
mandelbrot,1000,700,0.744385000,124.627469000
nbody,10000000,700,7.176880000,1321.045513000
fasta,2500000,700,2.743042000,425.616163000
spectralnorm,3000,800,9.864014000,1681.084135000
knucleotide,250000,800,0.840637000,119.903735000
fannkuchredux,10,800,1.604492000,255.490916000
binarytrees,16,800,1.784912000,186.417377000
mandelbrot,1000,800,1.150940000,133.257528000
nbody,10000000,800,8.718018000,1333.031592000
fasta,2500000,800,3.375244000,447.066087000
spectralnorm,3000,900,9.237854000,1628.549909000
knucleotide,250000,900,1.057617000,134.265582000
fannkuchredux,10,900,6.811707000,823.681731000
binarytrees,16,900,1.148498000,156.465201000
mandelbrot,1000,900,0.858154000,125.659108000
nbody,10000000,900,9.262818000,1404.029925000
fasta,2500000,900,2.826111000,424.902547000
spectralnorm,3000,1000,14.974061000,2149.000316000
knucleotide,250000,1000,1.005005000,126.525624000
fannkuchredux,10,1000,1.569092000,237.412458000
binarytrees,16,1000,1.172730000,155.075006000
mandelbrot,1000,1000,0.707214000,124.443454000
nbody,10000000,1000,7.387146000,1320.142578000
fasta,2500000,1000,2.602539000,420.374215000
spectralnorm,3000,1100,7.804749000,1598.336095000
knucleotide,250000,1100,0.874023000,118.297986000
fannkuchredux,10,1100,1.662963000,240.651718000
binarytrees,16,1100,1.163757000,156.339717000
mandelbrot,1000,1100,0.733215000,124.680380000
nbody,10000000,1100,7.154358000,1315.806246000
fasta,2500000,1100,2.862061000,431.907435000
spectralnorm,3000,1200,7.570069000,1599.726432000
knucleotide,250000,1200,0.814636000,121.208765000
fannkuchredux,10,1200,1.561828000,252.269896000
binarytrees,16,1200,1.254333000,161.940228000
mandelbrot,1000,1200,0.697387000,125.108923000
nbody,10000000,1200,8.855590000,1427.143621000
fasta,2500000,1200,2.634644000,422.946498000
spectralnorm,3000,1300,8.419555000,1625.588273000
knucleotide,250000,1300,1.134460000,130.087039000
fannkuchredux,10,1300,1.642334000,238.554479000
binarytrees,16,1300,1.295227000,162.794165000
mandelbrot,1000,1300,0.720703000,125.840166000
nbody,10000000,1300,7.173157000,1316.287058000
fasta,2500000,1300,2.601014000,422.297334000
spectralnorm,3000,1400,7.628906000,1607.804410000
knucleotide,250000,1400,0.734864000,114.248693000
fannkuchredux,10,1400,1.668213000,245.234539000
binarytrees,16,1400,1.180725000,156.472906000
mandelbrot,1000,1400,0.835755000,126.797099000
nbody,10000000,1400,7.300354000,1315.084385000
fasta,2500000,1400,3.415161000,429.967577000
spectralnorm,3000,1500,14.587769000,2139.514419000
knucleotide,250000,1500,1.119202000,131.158454000
fannkuchredux,10,1500,2.055665000,238.962236000
binarytrees,16,1500,1.171753000,153.864744000
mandelbrot,1000,1500,0.760010000,125.118978000
nbody,10000000,1500,7.627197000,1316.655782000
fasta,2500000,1500,2.661804000,424.869946000
spectralnorm,3000,1600,8.806763000,1604.048473000
knucleotide,250000,1600,0.935242000,127.710997000
fannkuchredux,10,1600,1.904541000,251.391647000
binarytrees,16,1600,1.192444000,156.081183000
mandelbrot,1000,1600,0.911438000,128.163015000
nbody,10000000,1600,7.226257000,1314.377216000
fasta,2500000,1600,3.686219000,484.475775000
spectralnorm,3000,1700,8.145386000,1617.555933000
knucleotide,250000,1700,0.725037000,115.886521000
fannkuchredux,10,1700,1.684387000,254.474932000
binarytrees,16,1700,1.205994000,164.800052000
mandelbrot,1000,1700,0.687500000,124.847067000
nbody,10000000,1700,7.149231000,1315.856701000
fasta,2500000,1700,2.716736000,423.162439000
spectralnorm,3000,1800,7.676453000,1611.871703000
knucleotide,250000,1800,0.771728000,117.488782000
fannkuchredux,10,1800,1.530883000,239.766805000
binarytrees,16,1800,1.143311000,153.065445000
mandelbrot,1000,1800,0.719849000,125.187566000
nbody,10000000,1800,8.355713000,1331.163220000
fasta,2500000,1800,7.637817000,904.335588000
spectralnorm,3000,1900,8.830322000,1640.882406000
knucleotide,250000,1900,0.786744000,115.198753000
