algo,size,joules,time_ms
bubble_sort,10000,1.864013000,298.105358000
bubble_sort,10000,0.800110000,160.966305000
bubble_sort,10000,1.002869000,158.879811000
bubble_sort,10000,0.932617000,157.852692000
bubble_sort,10000,1.322510000,162.730355000
bubble_sort,10000,1.910095000,199.553426000
bubble_sort,10000,1.540710000,194.618454000
bubble_sort,10000,1.205750000,168.255951000
bubble_sort,10000,1.052551000,158.334075000
bubble_sort,10000,0.948364000,158.016803000
bubble_sort,10000,1.212952000,161.166212000
bubble_sort,10000,0.963745000,156.408885000
bubble_sort,10000,1.081665000,160.313525000
bubble_sort,10000,1.064880000,159.757747000
bubble_sort,10000,1.031739000,159.086521000
bubble_sort,10000,1.033325000,160.577446000
bubble_sort,10000,0.985412000,158.706465000
bubble_sort,10000,0.928894000,158.587984000
bubble_sort,10000,0.949280000,159.431201000
bubble_sort,10000,0.956116000,158.179349000
bubble_sort,10000,1.061767000,159.559187000
bubble_sort,10000,1.088745000,160.373933000
bubble_sort,10000,0.907776000,158.515337000
bubble_sort,10000,1.060668000,158.416014000
bubble_sort,10000,0.973572000,159.671367000
bubble_sort,10000,1.070923000,158.596590000
bubble_sort,10000,1.057251000,159.492888000
bubble_sort,10000,0.897888000,156.022062000
bubble_sort,10000,1.147400000,159.715820000
bubble_sort,10000,0.983033000,161.109093000
bubble_sort,10000,1.242554000,166.271792000
bubble_sort,10000,0.956116000,157.382487000
bubble_sort,10000,1.050232000,158.613866000
bubble_sort,10000,0.979920000,161.215786000
bubble_sort,10000,0.931335000,158.505353000
bubble_sort,10000,1.170593000,164.636583000
bubble_sort,10000,1.599487000,189.133288000
bubble_sort,10000,1.340210000,185.516602000
bubble_sort,10000,0.991943000,159.193200000
bubble_sort,10000,0.998047000,158.531559000
bubble_sort,10000,0.953247000,158.038964000
bubble_sort,10000,1.269775000,196.823662000
bubble_sort,10000,1.050598000,159.709508000
bubble_sort,10000,0.939270000,157.131413000
bubble_sort,10000,0.947327000,157.692443000
bubble_sort,10000,0.986756000,157.487995000
bubble_sort,10000,0.929749000,160.070779000
bubble_sort,10000,1.128784000,159.314648000
bubble_sort,10000,0.988220000,157.293829000
bubble_sort,10000,0.920715000,158.098755000
bubble_sort,10000,0.931640000,156.789774000
bubble_sort,10000,0.884277000,154.237932000
bubble_sort,10000,0.981995000,158.631805000
bubble_sort,10000,1.033447000,158.704099000
bubble_sort,10000,0.985779000,159.349180000
bubble_sort,10000,0.976990000,158.172405000
bubble_sort,10000,1.059632000,157.853006000
bubble_sort,10000,0.967102000,157.256350000
bubble_sort,10000,0.948364000,157.177811000
bubble_sort,10000,0.927612000,158.042918000
bubble_sort,10000,1.058899000,159.032679000
bubble_sort,10000,1.040650000,160.118472000
bubble_sort,10000,1.007263000,158.311879000
bubble_sort,10000,0.959656000,157.193863000
bubble_sort,10000,1.036865000,157.645122000
bubble_sort,10000,1.024719000,159.103213000
bubble_sort,10000,1.245849000,166.304504000
bubble_sort,10000,1.618835000,194.329933000
bubble_sort,10000,1.154846000,182.675606000
bubble_sort,10000,0.946411000,159.641046000
bubble_sort,10000,1.037170000,160.053144000
bubble_sort,10000,1.052308000,158.394703000
bubble_sort,10000,1.013611000,162.260306000
bubble_sort,10000,1.073303000,161.148669000
bubble_sort,10000,1.008545000,156.652457000
bubble_sort,10000,0.906739000,158.597557000
bubble_sort,10000,1.015320000,157.028550000
bubble_sort,10000,0.930237000,157.319546000
bubble_sort,10000,1.094361000,160.844020000
bubble_sort,10000,0.961181000,158.980740000
bubble_sort,10000,1.074280000,160.410778000
bubble_sort,10000,1.050354000,157.705081000
bubble_sort,10000,0.971314000,159.887124000
bubble_sort,10000,1.082458000,159.536760000
bubble_sort,10000,0.937195000,157.839636000
bubble_sort,10000,1.068909000,158.596249000
bubble_sort,10000,0.956421000,157.292261000
