algo,size,freq_mhz,joules,time_ms
fannkuchredux_v1,10,2700,3.325684000,327.081402000
fannkuchredux_v1,10,2700,13.062744000,1249.233180000
fannkuchredux_v1,10,2700,3.215942000,277.483120000
fannkuchredux_v1,10,2700,2.163818000,239.330913000
fannkuchredux_v1,10,2700,1.605225000,238.480615000
fannkuchredux_v1,10,2700,1.566162000,232.433578000
fannkuchredux_v1,10,2700,1.803894000,265.339890000
fannkuchredux_v1,10,2700,1.513977000,243.265038000
fannkuchredux_v1,10,2700,1.497802000,232.763771000
fannkuchredux_v1,10,2700,1.438293000,231.627890000
fannkuchredux_v1,10,2700,1.803284000,237.172823000
fannkuchredux_v1,10,2700,1.999695000,236.288614000
fannkuchredux_v1,10,2700,2.297485000,255.280942000
fannkuchredux_v1,10,2700,1.430603000,231.516236000
fannkuchredux_v1,10,2700,1.462036000,233.174818000
fannkuchredux_v1,10,2700,1.477600000,232.769146000
fannkuchredux_v1,10,2700,1.487121000,231.996783000
fannkuchredux_v1,10,2700,2.028382000,252.845253000
fannkuchredux_v1,10,2700,1.898804000,239.864802000
fannkuchredux_v1,10,2700,1.684509000,237.825096000
fannkuchredux_v1,10,2700,1.539856000,234.030864000
fannkuchredux_v1,10,2700,1.640564000,243.848382000
fannkuchredux_v1,10,2700,1.468567000,235.990917000
fannkuchredux_v1,10,2700,1.663941000,232.365356000
fannkuchredux_v1,10,2700,1.549133000,232.515527000
fannkuchredux_v1,10,2700,1.447144000,232.692470000
fannkuchredux_v1,10,2700,1.703491000,235.411426000
fannkuchredux_v1,10,2700,1.463928000,232.646933000
fannkuchredux_v1,10,2700,1.785950000,233.151962000
fannkuchredux_v1,10,2700,1.760864000,248.108301000
fannkuchredux_v1,10,2700,1.444703000,233.424704000
fannkuchredux_v1,10,2700,1.612305000,240.580908000
fannkuchredux_v1,10,2700,1.473510000,232.389271000
fannkuchredux_v1,10,2700,1.546021000,232.786780000
fannkuchredux_v1,10,2700,1.718445000,234.222644000
fannkuchredux_v1,10,2700,1.497070000,237.499323000
fannkuchredux_v1,10,2700,1.473572000,232.787142000
fannkuchredux_v1,10,2700,1.765930000,234.127643000
fannkuchredux_v1,10,2700,2.080749000,247.100701000
fannkuchredux_v1,10,2700,1.924316000,250.746316000
fannkuchredux_v1,10,2700,1.617493000,237.563574000
fannkuchredux_v1,10,2700,1.477906000,236.415438000
fannkuchredux_v1,10,2700,1.629638000,234.417008000
fannkuchredux_v1,10,2700,1.442077000,232.175810000
fannkuchredux_v1,10,2700,1.588684000,232.951708000
fannkuchredux_v1,10,2700,1.469055000,234.197405000
fannkuchredux_v1,10,2700,1.475708000,236.627189000
fannkuchredux_v1,10,2700,2.936524000,321.188228000
fannkuchredux_v1,10,2700,1.459656000,233.665885000
fannkuchredux_v1,10,2700,1.616699000,234.818613000
fannkuchredux_v1,10,2700,1.570740000,249.530983000
fannkuchredux_v1,10,2700,1.571228000,232.605121000
fannkuchredux_v1,10,2700,1.573303000,234.298704000
fannkuchredux_v1,10,2700,1.592957000,236.096091000
fannkuchredux_v1,10,2700,1.550232000,233.682911000
fannkuchredux_v1,10,2700,1.420898000,231.850227000
fannkuchredux_v1,10,2700,1.708191000,240.736652000
fannkuchredux_v1,10,2700,1.630005000,238.537279000
fannkuchredux_v1,10,2700,1.462707000,231.806339000
fannkuchredux_v1,10,2700,2.468689000,274.389293000
fannkuchredux_v1,10,2700,1.526490000,236.153298000
fannkuchredux_v1,10,2700,1.482910000,233.569476000
fannkuchredux_v1,10,2700,1.541382000,232.314441000
fannkuchredux_v1,10,2700,1.430969000,232.484337000
fannkuchredux_v1,10,2700,1.632935000,237.677187000
fannkuchredux_v1,10,2700,1.808838000,249.104954000
fannkuchredux_v1,10,2700,3.266601000,292.121776000
fannkuchredux_v1,10,2700,2.183045000,245.886163000
fannkuchredux_v1,10,2700,3.141601000,332.964283000
fannkuchredux_v1,10,2700,1.533753000,237.972569000
fannkuchredux_v1,10,2700,1.562805000,234.151934000
fannkuchredux_v1,10,2700,1.586792000,232.452260000
fannkuchredux_v1,10,2700,1.485474000,233.074337000
fannkuchredux_v1,10,2700,1.800659000,245.250985000
fannkuchredux_v1,10,2700,2.927430000,304.845294000
fannkuchredux_v1,10,2700,2.040833000,260.444328000
fannkuchredux_v1,10,2700,1.634461000,244.729121000
fannkuchredux_v1,10,2700,1.548645000,237.820555000
fannkuchredux_v1,10,2700,1.972351000,245.846039000
fannkuchredux_v1,10,2700,2.092102000,260.696952000
fannkuchredux_v1,10,2700,1.578857000,239.341315000
fannkuchredux_v1,10,2700,1.486206000,233.508808000
fannkuchredux_v1,10,2700,1.407532000,232.201842000
fannkuchredux_v1,10,2700,1.823913000,276.944532000
fannkuchredux_v1,10,2700,1.473023000,235.061424000
fannkuchredux_v1,10,2700,1.630982000,235.034369000
fannkuchredux_v1,10,2700,1.450745000,231.547235000
fannkuchredux_v1,10,2700,1.446350000,231.523212000
fannkuchredux_v1,10,2700,1.638916000,235.553455000
fannkuchredux_v1,10,2700,1.577026000,233.995435000
fannkuchredux_v1,10,2700,1.531128000,232.387490000
fannkuchredux_v1,10,2700,1.484680000,234.811742000
fannkuchredux_v1,10,2700,1.698059000,233.852754000
fannkuchredux_v1,10,2700,1.821106000,268.472344000
fannkuchredux_v1,10,2700,1.664673000,232.711788000
fannkuchredux_v1,10,2700,1.721374000,234.409204000
fannkuchredux_v1,10,2700,1.663269000,234.233395000
fannkuchredux_v1,10,2700,1.609924000,233.291358000
fannkuchredux_v1,10,2700,1.751160000,233.675575000
fannkuchredux_v1,10,2700,2.374146000,282.147052000
fannkuchredux_v2,10,2700,1.696534000,268.320054000
fannkuchredux_v2,10,2700,1.551147000,266.107196000
