algo,size,joules,time_ms
bubble_sort,10000,0.968078000,159.078529000
bubble_sort,10000,0.841736000,152.845965000
bubble_sort,10000,0.922303000,156.437064000
bubble_sort,10000,1.056945000,157.622641000
bubble_sort,10000,1.483093000,170.759300000
bubble_sort,10000,1.180176000,159.137033000
bubble_sort,10000,0.915345000,155.131954000
bubble_sort,10000,0.906067000,156.762630000
bubble_sort,10000,1.800476000,177.890034000
bubble_sort,10000,0.896179000,155.416185000
bubble_sort,10000,1.025574000,161.331233000
bubble_sort,10000,0.966980000,156.674113000
bubble_sort,10000,0.898681000,155.780383000
bubble_sort,10000,0.921630000,154.946081000
bubble_sort,10000,0.932374000,156.967965000
bubble_sort,10000,1.057251000,157.970812000
bubble_sort,10000,0.931091000,157.632521000
bubble_sort,10000,0.919433000,154.974482000
bubble_sort,10000,0.900757000,155.739818000
bubble_sort,10000,1.052063000,158.886508000
bubble_sort,10000,0.928040000,155.831472000
bubble_sort,10000,0.925110000,155.563625000
bubble_sort,10000,0.904236000,157.581465000
bubble_sort,10000,0.982422000,157.792896000
bubble_sort,10000,0.909485000,155.677644000
bubble_sort,10000,0.924195000,155.386592000
bubble_sort,10000,0.919616000,155.163658000
bubble_sort,10000,1.187195000,161.755243000
bubble_sort,10000,2.625367000,269.370085000
bubble_sort,10000,1.886902000,212.897277000
bubble_sort,10000,0.895508000,155.522814000
bubble_sort,10000,0.971863000,158.504875000
bubble_sort,10000,0.950378000,157.170196000
bubble_sort,10000,1.029602000,158.286316000
bubble_sort,10000,1.018250000,156.067316000
bubble_sort,10000,1.003540000,158.262209000
bubble_sort,10000,0.959045000,155.825741000
bubble_sort,10000,1.039063000,154.618385000
bubble_sort,10000,0.878235000,154.177075000
bubble_sort,10000,0.864380000,154.674516000
bubble_sort,10000,0.935120000,157.706828000
bubble_sort,10000,1.017395000,156.987550000
bubble_sort,10000,0.920471000,155.437451000
bubble_sort,10000,1.025086000,156.024595000
bubble_sort,10000,0.969055000,157.091539000
bubble_sort,10000,1.025086000,157.558271000
bubble_sort,10000,0.925964000,155.158483000
bubble_sort,10000,0.937256000,156.953552000
bubble_sort,10000,1.025757000,156.488959000
bubble_sort,10000,0.924133000,155.439078000
bubble_sort,10000,0.942322000,156.165282000
bubble_sort,10000,0.895874000,155.896449000
bubble_sort,10000,0.988099000,158.420293000
bubble_sort,10000,0.929870000,155.732273000
bubble_sort,10000,0.936768000,156.912440000
bubble_sort,10000,0.878235000,156.364123000
bubble_sort,10000,1.024475000,158.905193000
bubble_sort,10000,0.910218000,155.771830000
bubble_sort,10000,1.514832000,170.350008000
bubble_sort,10000,1.127746000,165.466383000
bubble_sort,10000,0.936829000,155.299750000
bubble_sort,10000,0.890320000,155.935384000
bubble_sort,10000,0.907044000,154.758911000
bubble_sort,10000,1.033875000,156.832537000
bubble_sort,10000,0.929565000,156.522280000
bubble_sort,10000,1.060730000,157.568276000
bubble_sort,10000,0.940246000,157.056820000
bubble_sort,10000,0.992920000,157.233556000
bubble_sort,10000,0.910523000,156.816550000
bubble_sort,10000,0.957031000,157.337915000
bubble_sort,10000,1.032715000,159.768182000
bubble_sort,10000,0.994629000,156.874541000
bubble_sort,10000,0.978577000,155.978063000
bubble_sort,10000,0.934814000,157.000531000
bubble_sort,10000,0.920044000,155.174625000
bubble_sort,10000,1.041443000,158.065640000
bubble_sort,10000,0.930054000,155.563280000
bubble_sort,10000,0.876587000,153.718522000
bubble_sort,10000,0.922058000,157.398458000
bubble_sort,10000,1.016601000,157.272808000
bubble_sort,10000,0.902955000,155.170804000
bubble_sort,10000,0.912597000,155.989264000
bubble_sort,10000,1.029968000,157.734039000
bubble_sort,10000,0.894165000,155.738739000
bubble_sort,10000,0.868042000,154.729365000
bubble_sort,10000,0.922241000,155.966225000
bubble_sort,10000,1.038879000,156.593172000
bubble_sort,10000,0.892822000,155.069660000
bubble_sort,10000,0.910889000,155.407410000
bubble_sort,10000,1.017640000,157.162465000
bubble_sort,10000,1.751037000,183.828897000
bubble_sort,10000,0.917237000,156.458769000
bubble_sort,10000,0.916015000,155.839662000
bubble_sort,10000,1.042541000,156.817386000
bubble_sort,10000,1.057373000,156.772801000
bubble_sort,10000,0.937195000,156.956589000
bubble_sort,10000,0.915649000,155.381289000
bubble_sort,10000,1.045166000,156.568779000
bubble_sort,10000,1.008239000,157.273704000
bubble_sort,10000,0.915954000,156.002642000
bubble_sort,10000,0.912537000,154.163651000
bubble_sort,10000,1.032898000,157.746701000
bubble_sort,10000,0.939270000,156.116843000
bubble_sort,10000,0.957031000,155.713137000
bubble_sort,10000,0.971009000,158.112048000
bubble_sort,10000,1.002319000,157.847628000
bubble_sort,10000,0.933716000,156.615459000
bubble_sort,10000,0.927795000,156.223247000
bubble_sort,10000,0.921082000,155.635110000
bubble_sort,10000,0.962524000,157.240166000
bubble_sort,10000,0.869323000,156.550449000
bubble_sort,10000,0.889954000,155.170995000
bubble_sort,10000,0.884338000,155.614760000
bubble_sort,10000,0.976807000,157.693133000
bubble_sort,10000,0.888610000,155.637893000
bubble_sort,10000,0.894714000,154.720157000
bubble_sort,10000,0.935974000,156.625909000
bubble_sort,10000,1.018677000,155.750795000
bubble_sort,10000,0.931092000,157.287639000
bubble_sort,10000,1.040344000,157.046611000
bubble_sort,10000,0.939880000,155.671182000
bubble_sort,10000,1.320862000,164.825657000
bubble_sort,10000,1.356872000,173.045813000
bubble_sort,10000,2.267029000,241.319899000
bubble_sort,10000,1.884033000,176.333484000
bubble_sort,10000,0.958557000,158.990191000
bubble_sort,10000,0.952026000,158.675142000
bubble_sort,10000,2.044617000,180.965318000
bubble_sort,10000,2.105225000,191.467861000
bubble_sort,10000,1.719178000,167.847734000
bubble_sort,10000,2.101502000,173.262918000
bubble_sort,10000,1.287231000,164.720974000
bubble_sort,10000,1.068420000,164.105448000
bubble_sort,10000,0.914429000,155.370784000
bubble_sort,10000,1.150940000,159.398754000
bubble_sort,10000,0.922058000,156.595948000
bubble_sort,10000,0.936462000,155.444329000
bubble_sort,10000,0.900696000,157.582599000
bubble_sort,10000,1.034668000,156.704255000
bubble_sort,10000,0.916931000,156.308747000
bubble_sort,10000,0.890503000,156.731532000
bubble_sort,10000,1.566956000,170.971123000
bubble_sort,10000,1.334290000,168.443409000
bubble_sort,10000,1.443603000,166.498684000
bubble_sort,10000,1.221436000,160.509055000
bubble_sort,10000,1.282349000,160.846190000
bubble_sort,10000,0.926514000,155.524388000
bubble_sort,10000,1.225281000,165.705154000
bubble_sort,10000,0.937439000,156.903348000
bubble_sort,10000,1.323181000,158.731922000
bubble_sort,10000,1.207946000,161.702277000
bubble_sort,10000,1.668702000,173.550958000
bubble_sort,10000,1.363952000,170.150652000
bubble_sort,10000,1.028381000,156.690246000
bubble_sort,10000,0.893799000,155.998082000
bubble_sort,10000,0.908936000,156.274561000
