algo,size,freq_mhz,joules,time_ms
fannkuchredux_v8,10,500,1.844727000,317.686040000
fannkuchredux_v8,10,500,4.769714000,566.151534000
fannkuchredux_v8,10,500,4.445068000,478.485706000
fannkuchredux_v8,10,500,1.993591000,313.655930000
fannkuchredux_v8,10,500,2.652526000,419.615079000
fannkuchredux_v8,10,500,2.639222000,344.043071000
fannkuchredux_v8,10,500,1.824951000,317.909601000
fannkuchredux_v8,10,500,1.829895000,304.116362000
fannkuchredux_v8,10,500,1.978454000,317.780762000
fannkuchredux_v8,10,500,1.951050000,305.645546000
fannkuchredux_v8,10,500,1.936768000,317.565602000
fannkuchredux_v8,10,500,2.568726000,331.651701000
fannkuchredux_v8,10,500,3.038635000,373.828948000
fannkuchredux_v8,10,500,1.890747000,306.447635000
fannkuchredux_v8,10,500,1.977417000,321.752628000
fannkuchredux_v8,10,500,1.871643000,304.376764000
fannkuchredux_v8,10,500,1.838439000,317.215311000
fannkuchredux_v8,10,500,1.969238000,304.613539000
fannkuchredux_v8,10,500,1.846130000,317.861641000
fannkuchredux_v8,10,500,1.877441000,307.315701000
fannkuchredux_v8,10,500,1.909241000,317.691316000
fannkuchredux_v8,10,500,1.975647000,329.267870000
fannkuchredux_v8,10,500,1.832337000,304.761573000
fannkuchredux_v8,10,500,1.859619000,317.239981000
fannkuchredux_v8,10,500,1.827149000,304.827227000
fannkuchredux_v8,10,500,2.023804000,321.857394000
fannkuchredux_v8,10,500,2.058166000,306.017652000
fannkuchredux_v8,10,500,2.495728000,359.966059000
fannkuchredux_v8,10,500,2.485413000,365.871449000
fannkuchredux_v8,10,500,2.140625000,318.943621000
fannkuchredux_v8,10,500,2.008179000,306.400083000
fannkuchredux_v8,10,500,1.946167000,317.425663000
fannkuchredux_v8,10,500,2.035523000,305.923244000
fannkuchredux_v8,10,500,1.955689000,317.356761000
fannkuchredux_v8,10,500,2.078858000,305.253029000
fannkuchredux_v8,10,500,1.958252000,317.548095000
fannkuchredux_v8,10,500,2.044556000,305.901780000
fannkuchredux_v8,10,500,1.786987000,316.568581000
fannkuchredux_v8,10,500,2.160584000,338.773911000
fannkuchredux_v8,10,500,2.119568000,317.976987000
fannkuchredux_v8,10,500,1.908447000,305.412346000
fannkuchredux_v8,10,500,2.255982000,321.853168000
fannkuchredux_v8,10,500,1.955811000,305.364315000
fannkuchredux_v8,10,500,3.165588000,386.022912000
fannkuchredux_v8,10,500,2.192321000,313.456619000
fannkuchredux_v8,10,500,1.982910000,317.991978000
fannkuchredux_v8,10,500,2.088745000,305.988311000
fannkuchredux_v8,10,500,1.952758000,317.351525000
fannkuchredux_v8,10,500,1.889527000,304.491690000
fannkuchredux_v8,10,500,2.036193000,317.300118000
fannkuchredux_v8,10,500,2.999756000,318.918356000
fannkuchredux_v8,10,500,2.994201000,339.546085000
fannkuchredux_v8,10,500,3.122253000,332.648725000
fannkuchredux_v8,10,500,2.907837000,327.295031000
fannkuchredux_v8,10,500,2.680176000,311.346494000
fannkuchredux_v8,10,500,4.689209000,593.900098000
fannkuchredux_v8,10,500,1.790161000,304.921848000
fannkuchredux_v8,10,500,2.471985000,325.239973000
fannkuchredux_v8,10,500,2.680176000,357.714543000
fannkuchredux_v8,10,500,2.119996000,319.506371000
fannkuchredux_v8,10,500,1.967835000,305.265922000
fannkuchredux_v8,10,500,2.103394000,339.783146000
fannkuchredux_v8,10,500,2.121643000,305.902738000
fannkuchredux_v8,10,500,1.915833000,317.434195000
fannkuchredux_v8,10,500,1.839905000,314.454286000
fannkuchredux_v8,10,500,2.023804000,317.544547000
fannkuchredux_v8,10,500,1.909729000,304.114158000
fannkuchredux_v8,10,500,2.097473000,319.239450000
fannkuchredux_v8,10,500,2.068787000,306.001898000
fannkuchredux_v8,10,500,1.937256000,321.772624000
fannkuchredux_v8,10,500,1.966492000,309.430140000
fannkuchredux_v8,10,500,1.980163000,318.521502000
fannkuchredux_v8,10,500,1.918823000,305.160873000
fannkuchredux_v8,10,500,3.275696000,385.986687000
fannkuchredux_v8,10,500,3.069519000,356.339910000
fannkuchredux_v8,10,500,2.155273000,320.841045000
fannkuchredux_v8,10,500,2.060120000,305.460197000
fannkuchredux_v2,10,500,2.570434000,327.298167000
fannkuchredux_v2,10,500,1.965393000,277.583534000
fannkuchredux_v2,10,500,1.750183000,269.746299000
fannkuchredux_v2,10,500,1.726258000,276.126047000
fannkuchredux_v2,10,500,3.649353000,436.187497000
fannkuchredux_v2,10,500,3.691589000,450.222532000
fannkuchredux_v2,10,500,1.575135000,269.174921000
fannkuchredux_v2,10,500,1.590576000,274.188524000
fannkuchredux_v2,10,500,1.604492000,267.683581000
fannkuchredux_v2,10,500,1.574036000,271.900331000
fannkuchredux_v2,10,500,1.546630000,268.057867000
fannkuchredux_v2,10,500,1.658142000,273.649100000
fannkuchredux_v2,10,500,1.552246000,268.014290000
fannkuchredux_v2,10,500,1.595825000,273.122359000
