algo,size,joules,time_ms
bubble_sort,10000,2.254211000,807.919225000
bubble_sort,10000,2.915405000,1123.637424000
bubble_sort,10000,4.863037000,1858.713235000
bubble_sort,10000,2.507507000,875.402301000
bubble_sort,10000,2.287964000,854.569067000
bubble_sort,10000,2.234925000,834.733865000
bubble_sort,10000,2.187988000,815.551000000
bubble_sort,10000,2.108703000,816.758916000
bubble_sort,10000,2.014648000,819.515330000
bubble_sort,10000,2.243835000,868.157194000
bubble_sort,10000,2.389099000,850.692587000
bubble_sort,10000,2.365235000,881.241201000
bubble_sort,10000,2.438050000,897.135755000
bubble_sort,10000,1.950439000,794.750328000
bubble_sort,10000,1.938354000,793.381825000
bubble_sort,10000,2.037414000,801.183545000
bubble_sort,10000,2.060608000,805.918601000
bubble_sort,10000,2.258545000,841.370585000
bubble_sort,10000,2.720886000,1051.771384000
bubble_sort,10000,6.804809000,1475.782822000
bubble_sort,10000,9.659668000,2262.785971000
bubble_sort,10000,4.482117000,1622.676432000
bubble_sort,10000,2.142151000,823.972582000
bubble_sort,10000,10.203308000,2328.375370000
bubble_sort,10000,2.934814000,1091.605556000
