algo,size,freq_mhz,joules,time_ms
fannkuchredux_v2,10,800,1.411743000,442.762137000
fannkuchredux_v2,10,800,1.579041000,552.393935000
fannkuchredux_v2,10,800,1.318359000,442.928931000
fannkuchredux_v2,10,800,1.313171000,462.447030000
fannkuchredux_v2,10,800,1.295533000,443.084962000
fannkuchredux_v2,10,800,1.604737000,475.882037000
fannkuchredux_v2,10,800,1.918762000,603.137692000
fannkuchredux_v2,10,800,1.385742000,486.423784000
fannkuchredux_v2,10,800,1.414307000,442.954802000
fannkuchredux_v2,10,800,2.444458000,720.496158000
fannkuchredux_v2,10,800,1.357055000,442.457865000
fannkuchredux_v2,10,800,1.316223000,462.901913000
fannkuchredux_v2,10,800,1.321289000,442.449437000
fannkuchredux_v2,10,800,1.316467000,462.619016000
fannkuchredux_v2,10,800,1.310241000,444.258392000
fannkuchredux_v2,10,800,1.605102000,470.943641000
fannkuchredux_v2,10,800,1.754578000,496.851528000
fannkuchredux_v2,10,800,1.349793000,462.652979000
fannkuchredux_v2,10,800,1.395264000,441.529740000
fannkuchredux_v2,10,800,1.385986000,463.428483000
fannkuchredux_v2,10,800,1.284546000,441.312242000
fannkuchredux_v2,10,800,1.440735000,463.060754000
fannkuchredux_v2,10,800,1.450134000,505.477401000
fannkuchredux_v2,10,800,1.369445000,462.881053000
fannkuchredux_v2,10,800,1.256714000,446.455816000
fannkuchredux_v2,10,800,1.387451000,463.975945000
fannkuchredux_v2,10,800,1.656799000,451.082827000
fannkuchredux_v2,10,800,1.606751000,509.618203000
fannkuchredux_v2,10,800,1.287842000,451.730154000
fannkuchredux_v2,10,800,1.445374000,463.073696000
fannkuchredux_v2,10,800,1.248841000,440.740204000
fannkuchredux_v2,10,800,1.945373000,646.038842000
fannkuchredux_v2,10,800,1.247070000,440.941066000
fannkuchredux_v2,10,800,1.388244000,464.444010000
fannkuchredux_v2,10,800,1.245239000,440.289073000
fannkuchredux_v2,10,800,1.307129000,461.879235000
fannkuchredux_v2,10,800,1.516053000,448.412706000
fannkuchredux_v2,10,800,1.719177000,504.031886000
fannkuchredux_v2,10,800,1.529358000,511.434879000
fannkuchredux_v2,10,800,1.393372000,462.864738000
fannkuchredux_v2,10,800,1.361878000,442.542907000
fannkuchredux_v2,10,800,1.346314000,462.463454000
fannkuchredux_v2,10,800,1.416688000,443.544116000
fannkuchredux_v2,10,800,1.317810000,462.777455000
fannkuchredux_v8,10,800,1.625306000,572.840288000
fannkuchredux_v8,10,800,1.963623000,574.736141000
fannkuchredux_v8,10,800,1.950623000,608.826778000
fannkuchredux_v8,10,800,1.609619000,564.161007000
fannkuchredux_v8,10,800,1.751221000,554.145433000
fannkuchredux_v8,10,800,1.659485000,565.576711000
fannkuchredux_v8,10,800,1.694702000,546.305008000
fannkuchredux_v8,10,800,1.604431000,564.516232000
fannkuchredux_v8,10,800,1.600586000,545.156601000
fannkuchredux_v8,10,800,1.687927000,569.924918000
fannkuchredux_v8,10,800,1.962646000,556.397133000
fannkuchredux_v8,10,800,1.878784000,581.112988000
fannkuchredux_v8,10,800,1.593872000,544.491805000
fannkuchredux_v8,10,800,1.717773000,569.995922000
fannkuchredux_v8,10,800,1.575195000,544.408593000
fannkuchredux_v8,10,800,1.700561000,565.590183000
fannkuchredux_v8,10,800,1.545654000,544.424924000
fannkuchredux_v8,10,800,1.661010000,565.444412000
fannkuchredux_v8,10,800,1.669983000,560.881547000
fannkuchredux_v8,10,800,2.329772000,676.312833000
fannkuchredux_v8,10,800,1.617737000,547.838948000
fannkuchredux_v8,10,800,1.726258000,580.566924000
fannkuchredux_v8,10,800,1.606811000,545.527066000
fannkuchredux_v8,10,800,1.773499000,567.417495000
fannkuchredux_v8,10,800,1.543091000,544.611794000
fannkuchredux_v8,10,800,1.669677000,565.983691000
fannkuchredux_v8,10,800,1.542420000,545.056874000
fannkuchredux_v8,10,800,1.731140000,572.943068000
fannkuchredux_v8,10,800,2.154419000,610.522590000
fannkuchredux_v8,10,800,1.679688000,565.488098000
fannkuchredux_v8,10,800,1.664306000,545.478795000
fannkuchredux_v8,10,800,2.826172000,813.288862000
fannkuchredux_v8,10,800,1.758606000,600.044134000
fannkuchredux_v8,10,800,1.607422000,564.917325000
fannkuchredux_v8,10,800,1.599976000,545.090098000
fannkuchredux_v8,10,800,1.658081000,564.846897000
fannkuchredux_v8,10,800,2.274659000,647.439948000
fannkuchredux_v8,10,800,1.901428000,643.973808000
fannkuchredux_v8,10,800,1.697144000,568.349461000
fannkuchredux_v8,10,800,1.655029000,564.772470000
fannkuchredux_v8,10,800,1.726562000,546.636477000
fannkuchredux_v8,10,800,1.601990000,564.819479000
fannkuchredux_v8,10,800,1.604980000,545.277350000
fannkuchredux_v8,10,800,1.607056000,564.714092000
fannkuchredux_v8,10,800,1.725158000,554.694431000
mandelbrot,1000,800,0.805970000,227.538795000
mandelbrot,1000,800,0.818848000,255.151038000
mandelbrot,1000,800,0.588989000,210.266834000
mandelbrot,1000,800,0.542785000,212.884920000
mandelbrot,1000,800,0.528809000,209.320218000
mandelbrot,1000,800,0.527404000,209.324635000
mandelbrot,1000,800,0.602783000,210.253776000
mandelbrot,1000,800,0.597961000,211.193458000
mandelbrot,1000,800,0.534058000,209.878081000
mandelbrot,1000,800,0.526612000,209.360596000
mandelbrot,1000,800,0.550781000,215.581466000
mandelbrot,1000,800,0.571533000,209.222616000
mandelbrot,1000,800,0.656067000,212.095891000
mandelbrot,1000,800,0.527527000,209.344205000
mandelbrot,1000,800,0.527466000,209.825492000
mandelbrot,1000,800,0.525452000,209.242853000
mandelbrot,1000,800,0.552429000,209.283262000
mandelbrot,1000,800,0.558105000,209.982775000
mandelbrot,1000,800,0.522155000,209.034678000
mandelbrot,1000,800,0.524902000,209.099031000
mandelbrot,1000,800,0.524414000,208.947456000
mandelbrot,1000,800,0.582703000,210.350185000
mandelbrot,1000,800,0.567688000,212.196480000
mandelbrot,1000,800,0.847962000,239.576680000
mandelbrot,1000,800,0.868103000,258.952410000
mandelbrot,1000,800,0.571778000,210.552333000
mandelbrot,1000,800,0.538025000,210.946415000
mandelbrot,1000,800,0.529236000,209.556123000
mandelbrot,1000,800,0.524841000,208.955049000
mandelbrot,1000,800,0.604859000,210.552548000
mandelbrot,1000,800,0.595154000,209.962002000
mandelbrot,1000,800,0.532165000,209.167111000
mandelbrot,1000,800,0.529297000,209.563048000
mandelbrot,1000,800,0.529114000,209.221878000
mandelbrot,1000,800,0.561706000,209.364882000
mandelbrot,1000,800,0.588195000,209.740136000
mandelbrot,1000,800,0.527405000,209.255968000
mandelbrot,1000,800,0.531800000,209.953723000
mandelbrot,1000,800,0.527771000,209.678873000
mandelbrot,1000,800,0.526184000,208.972939000
mandelbrot,1000,800,0.588929000,213.711283000
mandelbrot,1000,800,0.525025000,209.037313000
mandelbrot,1000,800,0.532898000,209.300665000
mandelbrot,1000,800,0.524780000,209.151169000
mandelbrot,1000,800,0.578857000,209.575619000
mandelbrot,1000,800,0.532714000,208.994002000
mandelbrot,1000,800,0.765869000,219.124691000
mandelbrot,1000,800,0.859130000,242.610848000
mandelbrot,1000,800,0.579589000,215.955204000
mandelbrot,1000,800,0.585022000,209.888068000
mandelbrot,1000,800,0.523437000,208.799746000
mandelbrot,1000,800,0.527283000,208.776811000
mandelbrot,1000,800,0.591613000,209.426535000
mandelbrot,1000,800,0.543823000,211.652299000
mandelbrot,1000,800,0.593567000,209.973873000
mandelbrot,1000,800,0.549805000,218.095149000
mandelbrot,1000,800,0.524536000,209.166264000
mandelbrot,1000,800,0.560486000,209.838530000
mandelbrot,1000,800,0.659301000,211.414948000
mandelbrot,1000,800,0.533386000,209.547758000
mandelbrot,1000,800,0.523437000,208.773429000
mandelbrot,1000,800,0.521301000,208.923058000
mandelbrot,1000,800,0.523804000,209.233294000
mandelbrot,1000,800,0.590088000,212.385301000
mandelbrot,1000,800,0.530700000,210.847288000
mandelbrot,1000,800,0.523498000,209.315148000
mandelbrot,1000,800,0.524780000,209.408683000
mandelbrot,1000,800,0.537720000,210.233347000
mandelbrot,1000,800,0.583923000,209.956399000
mandelbrot,1000,800,0.689392000,217.929846000
mandelbrot,1000,800,0.863709000,249.787167000
mandelbrot,1000,800,0.818604000,269.373735000
mandelbrot,1000,800,0.712036000,216.404774000
mandelbrot,1000,800,2.344116000,726.179530000
mandelbrot,1000,800,1.010925000,334.827916000
mandelbrot,1000,800,0.530945000,209.477009000
mandelbrot,1000,800,0.580261000,218.038305000
mandelbrot,1000,800,0.533509000,209.452813000
mandelbrot,1000,800,0.626099000,216.813359000
mandelbrot,1000,800,0.559937000,210.240731000
mandelbrot,1000,800,0.531311000,209.389969000
mandelbrot,1000,800,0.534485000,210.803818000
mandelbrot,1000,800,0.527588000,209.602368000
mandelbrot,1000,800,0.606995000,214.225848000
mandelbrot,1000,800,0.525818000,209.661804000
mandelbrot,1000,800,0.537536000,213.629960000
mandelbrot,1000,800,0.536682000,212.315271000
mandelbrot,1000,800,0.527282000,209.525397000
mandelbrot,1000,800,0.587097000,210.113835000
mandelbrot,1000,800,0.809936000,254.130273000
mandelbrot,1000,800,0.993836000,293.751125000
mandelbrot,1000,800,0.686951000,226.716955000
mandelbrot,1000,800,0.610046000,211.611745000
mandelbrot,1000,800,0.617127000,211.315453000
mandelbrot,1000,800,0.662354000,211.684157000
mandelbrot,1000,800,0.788391000,266.665532000
mandelbrot,1000,800,0.609741000,211.398972000
mandelbrot,1000,800,0.556153000,209.474858000
mandelbrot,1000,800,0.525452000,209.355901000
mandelbrot,1000,800,0.526489000,209.256471000
mandelbrot,1000,800,0.564636000,209.851523000
mandelbrot,1000,800,0.663391000,211.552317000
mandelbrot,1000,800,0.524109000,208.966471000
mandelbrot,1000,800,0.532287000,211.067509000
mandelbrot,1000,800,0.532226000,210.838685000
mandelbrot,1000,800,0.585510000,218.007993000
mandelbrot,1000,800,0.549134000,209.800203000
mandelbrot,1000,800,0.520813000,209.132659000
mandelbrot,1000,800,0.526489000,209.155670000
mandelbrot,1000,800,0.528076000,209.701128000
mandelbrot,1000,800,0.596679000,211.522403000
mandelbrot,1000,800,0.550171000,209.244344000
mandelbrot,1000,800,0.832092000,234.782413000
mandelbrot,1000,800,0.757751000,216.418084000
mandelbrot,1000,800,0.571045000,217.189922000
mandelbrot_v2,1000,800,0.317078000,115.030846000
mandelbrot_v2,1000,800,0.362182000,113.905287000
mandelbrot_v2,1000,800,0.323791000,115.947499000
mandelbrot_v2,1000,800,0.306518000,112.535766000
mandelbrot_v2,1000,800,0.410522000,117.672531000
mandelbrot_v2,1000,800,0.432251000,120.234396000
mandelbrot_v2,1000,800,0.435058000,123.531228000
mandelbrot_v2,1000,800,0.795960000,221.510689000
mandelbrot_v2,1000,800,0.613648000,189.777444000
mandelbrot_v2,1000,800,0.342651000,124.656527000
mandelbrot_v2,1000,800,0.315918000,113.662446000
mandelbrot_v2,1000,800,0.309021000,112.229150000
mandelbrot_v2,1000,800,0.311218000,112.880146000
mandelbrot_v2,1000,800,0.310913000,112.682424000
mandelbrot_v2,1000,800,0.313354000,111.818597000
mandelbrot_v2,1000,800,0.375550000,112.242920000
mandelbrot_v2,1000,800,0.309997000,112.573893000
mandelbrot_v2,1000,800,0.364624000,113.105189000
mandelbrot_v2,1000,800,0.314453000,114.291501000
mandelbrot_v2,1000,800,0.303101000,112.176527000
mandelbrot_v2,1000,800,0.306579000,112.378522000
mandelbrot_v2,1000,800,0.312073000,112.529476000
mandelbrot_v2,1000,800,0.299988000,111.776690000
mandelbrot_v2,1000,800,0.309937000,112.435163000
mandelbrot_v2,1000,800,0.342468000,112.461430000
mandelbrot_v2,1000,800,0.355835000,112.205812000
mandelbrot_v2,1000,800,0.392883000,115.864365000
mandelbrot_v2,1000,800,0.329650000,118.753183000
mandelbrot_v2,1000,800,0.305359000,111.952792000
mandelbrot_v2,1000,800,0.308105000,112.334599000
mandelbrot_v2,1000,800,0.313660000,112.417695000
mandelbrot_v2,1000,800,0.312134000,112.939866000
mandelbrot_v2,1000,800,0.305603000,112.106900000
mandelbrot_v2,1000,800,0.306336000,112.192000000
mandelbrot_v2,1000,800,0.357361000,113.059831000
mandelbrot_v2,1000,800,0.314575000,112.157744000
mandelbrot_v2,1000,800,0.307983000,112.041064000
mandelbrot_v2,1000,800,0.307740000,112.552538000
mandelbrot_v2,1000,800,0.321534000,117.074829000
mandelbrot_v2,1000,800,0.307923000,112.418315000
mandelbrot_v2,1000,800,0.308716000,112.184364000
