algo,size,joules,time_ms
merge_sort,10000,0.014710000,2.972892000
merge_sort,10000,0.012329000,4.327405000
merge_sort,10000,0.014160000,4.320728000
merge_sort,10000,0.015992000,4.364470000
merge_sort,10000,0.024048000,5.935208000
merge_sort,10000,0.062317000,6.743873000
merge_sort,10000,0.037537000,4.650473000
merge_sort,10000,0.016785000,4.386769000
merge_sort,10000,0.029236000,5.174559000
merge_sort,10000,0.035156000,6.806273000
merge_sort,10000,0.019898000,4.345518000
merge_sort,10000,0.029724000,4.656441000
merge_sort,10000,0.019898000,4.693403000
merge_sort,10000,0.012878000,2.313283000
merge_sort,10000,0.015625000,2.447952000
merge_sort,10000,0.018677000,3.414650000
merge_sort,10000,0.042236000,2.685145000
merge_sort,10000,0.049500000,2.689185000
merge_sort,10000,0.017089000,2.877184000
merge_sort,10000,0.007446000,2.382891000
merge_sort,10000,0.010132000,2.500045000
merge_sort,10000,0.020813000,2.491102000
merge_sort,10000,0.028809000,3.561357000
merge_sort,10000,0.008057000,2.605539000
merge_sort,10000,0.021179000,4.330352000
merge_sort,10000,0.029908000,4.843539000
merge_sort,10000,0.044189000,4.011724000
merge_sort,10000,0.021424000,2.624282000
merge_sort,10000,0.013489000,2.631652000
merge_sort,10000,0.039489000,6.274372000
merge_sort,10000,0.009278000,2.480794000
merge_sort,10000,0.019531000,2.654134000
merge_sort,10000,0.029053000,2.888795000
merge_sort,10000,0.042053000,2.734227000
merge_sort,10000,0.036254000,2.850467000
merge_sort,10000,0.013244000,2.291592000
merge_sort,10000,0.007507000,2.404922000
merge_sort,10000,0.033448000,3.173129000
merge_sort,10000,0.045777000,4.638201000
merge_sort,10000,0.037598000,4.729759000
merge_sort,10000,0.039490000,4.319768000
merge_sort,10000,0.025086000,3.508433000
merge_sort,10000,0.015320000,2.370318000
merge_sort,10000,0.016174000,2.445588000
merge_sort,10000,0.028931000,2.849896000
merge_sort,10000,0.029052000,2.568442000
merge_sort,10000,0.013306000,2.647431000
merge_sort,10000,0.017028000,2.382910000
merge_sort,10000,0.013184000,3.125938000
merge_sort,10000,0.007508000,2.285785000
merge_sort,10000,0.008606000,2.283429000
merge_sort,10000,0.021606000,2.850506000
merge_sort,10000,0.021424000,2.759827000
merge_sort,10000,0.013550000,2.381725000
merge_sort,10000,0.023376000,2.650353000
merge_sort,10000,0.021179000,2.617912000
merge_sort,10000,0.026307000,2.584493000
merge_sort,10000,0.017150000,2.657976000
merge_sort,10000,0.013062000,2.283106000
merge_sort,10000,0.013001000,2.739515000
merge_sort,10000,0.016968000,2.836920000
merge_sort,10000,0.018128000,2.418968000
merge_sort,10000,0.018006000,2.652945000
merge_sort,10000,0.025635000,4.717600000
merge_sort,10000,0.027527000,2.646932000
merge_sort,10000,0.012817000,2.714527000
merge_sort,10000,0.013244000,2.775739000
merge_sort,10000,0.009033000,2.297090000
merge_sort,10000,0.015808000,2.575842000
merge_sort,10000,0.016602000,2.384883000
merge_sort,10000,0.014038000,2.510274000
merge_sort,10000,0.012634000,2.497498000
merge_sort,10000,0.012207000,2.344914000
