algo,size,freq_mhz,joules,time_ms
fannkuchredux_v8,10,2700,3.145630000,485.026285000
fannkuchredux_v8,10,2700,2.192810000,310.800972000
fannkuchredux_v8,10,2700,3.320190000,365.734387000
fannkuchredux_v8,10,2700,6.831970000,615.046949000
fannkuchredux_v8,10,2700,3.625610000,338.080976000
fannkuchredux_v8,10,2700,3.719605000,352.157599000
fannkuchredux_v8,10,2700,3.694397000,379.856651000
fannkuchredux_v8,10,2700,3.836731000,400.859148000
fannkuchredux_v8,10,2700,4.435363000,436.781800000
fannkuchredux_v8,10,2700,4.081848000,392.540836000
fannkuchredux_v8,10,2700,7.883057000,747.303437000
fannkuchredux_v8,10,2700,5.040283000,438.133337000
fannkuchredux_v8,10,2700,4.517883000,441.732085000
fannkuchredux_v8,10,2700,4.550842000,422.746793000
fannkuchredux_v8,10,2700,4.647522000,399.657866000
fannkuchredux_v8,10,2700,9.998901000,921.975603000
fannkuchredux_v8,10,2700,4.253845000,377.651932000
fannkuchredux_v8,10,2700,4.624207000,493.069321000
fannkuchredux_v8,10,2700,6.274170000,570.529301000
fannkuchredux_v8,10,2700,8.025146000,690.926920000
fannkuchredux_v8,10,2700,7.553649000,646.624231000
fannkuchredux_v8,10,2700,3.721253000,373.381206000
fannkuchredux_v8,10,2700,1.790283000,314.592679000
fannkuchredux_v8,10,2700,3.925110000,397.201082000
fannkuchredux_v8,10,2700,4.826111000,442.189629000
fannkuchredux_v8,10,2700,9.148620000,824.678821000
fannkuchredux_v8,10,2700,7.917908000,659.342938000
fannkuchredux_v8,10,2700,7.253174000,609.505483000
fannkuchredux_v8,10,2700,7.506287000,612.988016000
fannkuchredux_v8,10,2700,4.825012000,409.196389000
fannkuchredux_v8,10,2700,5.750794000,497.563439000
fannkuchredux_v8,10,2700,6.344727000,530.065191000
fannkuchredux_v8,10,2700,5.950318000,493.060898000
fannkuchredux_v8,10,2700,9.956970000,881.717191000
fannkuchredux_v8,10,2700,5.961425000,516.066204000
fannkuchredux_v8,10,2700,4.952881000,410.936160000
fannkuchredux_v8,10,2700,4.435547000,383.918288000
fannkuchredux_v8,10,2700,3.690918000,325.661804000
fannkuchredux_v8,10,2700,4.186889000,339.335375000
fannkuchredux_v8,10,2700,4.326294000,355.228920000
fannkuchredux_v8,10,2700,3.780823000,322.018535000
fannkuchredux_v8,10,2700,4.063599000,344.494411000
fannkuchredux_v8,10,2700,5.550720000,463.166335000
fannkuchredux_v8,10,2700,5.561218000,462.455920000
fannkuchredux_v8,10,2700,8.819764000,800.280501000
fannkuchredux_v8,10,2700,8.651856000,834.415883000
fannkuchredux_v8,10,2700,3.915039000,500.429538000
fannkuchredux_v8,10,2700,3.781006000,419.265857000
fannkuchredux_v8,10,2700,8.070496000,770.083524000
fannkuchredux_v8,10,2700,9.232300000,837.930968000
fannkuchredux_v8,10,2700,3.720764000,367.363260000
fannkuchredux_v8,10,2700,5.339905000,494.457767000
